exchange,prem_under_1km,prem_1_3km,prem_over_3km,oslaua,oscty,gor,code,geotype_name,geotype_number,av_spd_per_prem
CLBER,4576,13728,4576,E09000023,E99999999,E12000007,00London,Inner London,1,50
CLBIS,1911,5733,1911,E09000030,E99999999,E12000007,00London,Inner London,1,50
CLCAN,3477,10431,3477,E09000012,E99999999,E12000007,00London,Inner London,1,50
CLCLE,3090,9269,3090,E09000001,E99999999,E12000007,00London,Inner London,1,50
CLCOV,641,1922,641,E09000007,E99999999,E12000007,00London,Inner London,1,50
CLEUS,1401,4204,1401,E09000007,E99999999,E12000007,00London,Inner London,1,50
CLFAR,156,467,156,E09000028,E99999999,E12000007,00London,Inner London,1,50
CLFLE,549,1646,549,E09000001,E99999999,E12000007,00London,Inner London,1,50
CLHOL,1061,3183,1061,E09000001,E99999999,E12000007,00London,Inner London,1,50
CLKEN,5572,16716,5572,E09000019,E99999999,E12000007,00London,Inner London,1,50
CLKLG,4544,13631,4544,E09000012,E99999999,E12000007,00London,Inner London,1,50
CLKXX,1816,5448,1816,E09000019,E99999999,E12000007,00London,Inner London,1,50
CLLOW,3249,9748,3249,E09000019,E99999999,E12000007,00London,Inner London,1,50
CLMON,451,1354,451,E09000028,E99999999,E12000007,00London,Inner London,1,50
CLMOO,630,1890,630,E09000001,E99999999,E12000007,00London,Inner London,1,50
CLNEW,6551,19653,6551,E09000023,E99999999,E12000007,00London,Inner London,1,50
CLSHO,3203,9608,3203,E09000030,E99999999,E12000007,00London,Inner London,1,50
CLSOU,2191,6574,2191,E09000028,E99999999,E12000007,00London,Inner London,1,50
CLSTE,3686,11058,3686,E09000028,E99999999,E12000007,00London,Inner London,1,50
CLUPP,5220,15661,5220,E09000012,E99999999,E12000007,00London,Inner London,1,50
CLWAL,4084,12251,4084,E09000028,E99999999,E12000007,00London,Inner London,1,50
CLWAP,1766,5297,1766,E09000028,E99999999,E12000007,00London,Inner London,1,50
LNADK,4166,12497,4166,E09000011,E99999999,E12000007,00London,Inner London,1,50
LNCED,3599,10796,3599,E09000019,E99999999,E12000007,00London,Inner London,1,50
LNCLA,4042,12126,4042,E09000012,E99999999,E12000007,00London,Inner London,1,50
LNCNW,3461,10382,3461,E09000028,E99999999,E12000007,00London,Inner London,1,50
LNDZ2,2989,8968,2989,E09000023,E99999999,E12000007,00London,Inner London,1,50
LNHAC,5470,16411,5470,E09000030,E99999999,E12000007,00London,Inner London,1,50
LNILC,3509,10528,3509,E09000025,E99999999,E12000007,00London,Inner London,1,50
LNILN,1878,5633,1878,E09000025,E99999999,E12000007,00London,Inner London,1,50
LNLEY,4450,13349,4450,E09000012,E99999999,E12000007,00London,Inner London,1,50
LNMED,4946,14839,4946,E09000030,E99999999,E12000007,00London,Inner London,1,50
LNMUS,3693,11080,3693,E09000014,E99999999,E12000007,00London,Inner London,1,50
LNSTA,4916,14748,4916,E09000012,E99999999,E12000007,00London,Inner London,1,50
LNSTF,4582,13745,4582,E09000025,E99999999,E12000007,00London,Inner London,1,50
LNUPK,8420,25259,8420,E09000025,E99999999,E12000007,00London,Inner London,1,50
LNWSD,3100,9300,3100,E09000025,E99999999,E12000007,00London,Inner London,1,50
LSCLPM,2789,8366,2789,E09000022,E99999999,E12000007,00London,Inner London,1,50
LSDEP,5090,15269,5090,E09000023,E99999999,E12000007,00London,Inner London,1,50
LSDUL,2502,7507,2502,E09000023,E99999999,E12000007,00London,Inner London,1,50
LSELT,3571,10713,3571,E09000011,E99999999,E12000007,00London,Inner London,1,50
LSFOR,3509,10528,3509,E09000023,E99999999,E12000007,00London,Inner London,1,50
